timestamp,aqi,pm25,pm10,no2,o3,temperature,humidity,wind_speed,hour,day,month,weekday,is_weekend,aqi_change_rate,pm25_to_pm10_ratio,temp_change,humidity_change,weather_code
2025-01-01 06:00:00,88,29.67,31.0,2.7,81.0,13.3,59,4.4,6,1,1,2,0,6.0,0.9570967741935484,0.0,3.0,9
2025-01-01 07:00:00,94,32.33,34.0,3.3,81.0,13.7,59,4.0,7,1,1,2,0,6.0,0.9508823529411764,0.3999999999999986,0.0,5
2025-01-01 08:00:00,100,35.0,37.0,4.0,81.0,14.4,58,4.0,8,1,1,2,0,6.0,0.9459459459459459,0.7000000000000011,-1.0,5
2025-01-01 09:00:00,104,37.0,39.0,3.7,92.0,15.2,54,4.4,9,1,1,2,0,4.0,0.9487179487179487,0.7999999999999989,-4.0,5
2025-01-01 10:00:00,110,39.0,41.0,3.3,103.0,20.7,45,4.8,10,1,1,2,0,6.0,0.9512195121951219,5.5,-9.0,5
2025-01-01 11:00:00,115,41.0,43.0,3.0,114.0,21.5,41,4.8,11,1,1,2,0,5.0,0.9534883720930233,0.8000000000000007,-4.0,5
2025-01-01 12:00:00,108,38.33,41.7,2.7,121.7,22.2,40,4.4,12,1,1,2,0,-7.0,0.9191846522781774,0.6999999999999993,-1.0,5
2025-01-01 13:00:00,101,35.67,40.3,2.3,129.3,25.2,31,3.6,13,1,1,2,0,-7.0,0.8851116625310175,3.0,-9.0,8
2025-01-01 14:00:00,95,33.0,39.0,2.0,137.0,25.6,29,3.2,14,1,1,2,0,-6.0,0.8461538461538461,0.40000000000000213,-2.0,8
2025-01-01 15:00:00,98,34.0,40.7,2.7,136.0,25.9,29,2.8,15,1,1,2,0,3.0,0.8353808353808353,0.29999999999999716,0.0,8
2025-01-01 16:00:00,100,35.0,42.3,3.3,135.0,25.9,29,2.4,16,1,1,2,0,2.0,0.8274231678486998,0.0,0.0,0
2025-01-01 17:00:00,102,36.0,44.0,4.0,134.0,26.3,28,2.0,17,1,1,2,0,2.0,0.8181818181818182,0.40000000000000213,-1.0,3
2025-01-01 18:00:00,118,42.0,48.3,4.7,122.7,26.7,25,1.2,18,1,1,2,0,16.0,0.8695652173913044,0.3999999999999986,-3.0,3
2025-01-01 19:00:00,134,48.0,52.7,5.3,111.3,21.9,40,0.8,19,1,1,2,0,16.0,0.9108159392789373,-4.800000000000001,15.0,0
2025-01-01 20:00:00,150,54.0,57.0,6.0,100.0,21.5,42,1.2,20,1,1,2,0,16.0,0.9473684210526315,-0.3999999999999986,2.0,0
2025-01-01 21:00:00,150,54.0,57.0,6.0,93.3,21.1,44,2.0,21,1,1,2,0,0.0,0.9473684210526315,-0.3999999999999986,2.0,8
2025-01-01 22:00:00,150,54.0,57.0,6.0,86.7,17.8,53,2.8,22,1,1,2,0,0.0,0.9473684210526315,-3.3000000000000007,9.0,8
2025-01-01 23:00:00,150,54.0,57.0,6.0,80.0,17.4,56,3.2,23,1,1,2,0,0.0,0.9473684210526315,-0.40000000000000213,3.0,8
2025-01-02 00:00:00,148,53.0,56.3,5.7,78.7,17.0,57,3.6,0,2,1,3,0,-2.0,0.941385435168739,-0.3999999999999986,1.0,8
2025-01-02 01:00:00,145,52.0,55.7,5.3,77.3,15.2,64,3.6,1,2,1,3,0,-3.0,0.9335727109515259,-1.8000000000000007,7.0,8
2025-01-02 02:00:00,142,51.0,55.0,5.0,76.0,15.2,64,3.6,2,2,1,3,0,-3.0,0.9272727272727272,0.0,0.0,0
2025-01-02 03:00:00,140,50.33,54.3,4.3,78.3,14.1,66,3.6,3,2,1,3,0,-2.0,0.9268876611418048,-1.0999999999999996,2.0,8
2025-01-02 04:00:00,139,49.67,53.7,3.7,80.7,14.1,66,3.6,4,2,1,3,0,-1.0,0.9249534450651768,0.0,0.0,8
2025-01-02 05:00:00,137,49.0,53.0,3.0,83.0,14.1,66,3.6,5,2,1,3,0,-2.0,0.9245283018867925,0.0,0.0,8
2025-01-02 06:00:00,141,50.67,54.7,3.3,84.7,14.1,68,3.6,6,2,1,3,0,4.0,0.926325411334552,0.0,2.0,8
2025-01-02 07:00:00,146,52.33,56.3,3.7,86.3,14.1,69,3.6,7,2,1,3,0,5.0,0.9294849023090587,0.0,1.0,5
2025-01-02 08:00:00,150,54.0,58.0,4.0,88.0,14.4,68,4.0,8,2,1,3,0,4.0,0.9310344827586207,0.3000000000000007,-1.0,5
2025-01-02 09:00:00,141,50.67,54.3,3.7,100.3,15.2,66,4.0,9,2,1,3,0,-9.0,0.9331491712707183,0.7999999999999989,-2.0,5
2025-01-02 10:00:00,132,47.33,50.7,3.3,112.7,20.7,49,4.0,10,2,1,3,0,-9.0,0.9335305719921103,5.5,-17.0,5
2025-01-02 11:00:00,123,44.0,47.0,3.0,125.0,21.9,41,4.0,11,2,1,3,0,-9.0,0.9361702127659575,1.1999999999999993,-8.0,5
2025-01-02 12:00:00,104,37.0,40.3,2.7,133.0,22.2,38,3.2,12,2,1,3,0,-19.0,0.9181141439205956,0.3000000000000007,-3.0,5
2025-01-02 13:00:00,89,30.0,33.7,2.3,141.0,25.2,27,2.4,13,2,1,3,0,-15.0,0.890207715133531,3.0,-11.0,8
2025-01-02 14:00:00,86,23.0,27.0,2.0,149.0,25.6,26,1.6,14,2,1,3,0,-3.0,0.8518518518518519,0.40000000000000213,-1.0,0
2025-01-02 15:00:00,87,29.33,34.7,3.0,149.7,25.6,28,1.6,15,2,1,3,0,1.0,0.8452449567723341,0.0,2.0,0
2025-01-02 16:00:00,101,35.67,42.3,4.0,150.3,25.6,28,1.2,16,2,1,3,0,14.0,0.8432624113475178,0.0,0.0,5
2025-01-02 17:00:00,118,42.0,50.0,5.0,151.0,25.2,28,0.4,17,2,1,3,0,17.0,0.84,-0.40000000000000213,0.0,5
2025-01-02 18:00:00,152,57.0,64.3,5.7,134.0,25.2,31,1.2,18,2,1,3,0,34.0,0.8864696734059099,0.0,3.0,5
2025-01-02 19:00:00,172,72.0,78.7,6.3,117.0,21.1,48,1.2,19,2,1,3,0,20.0,0.9148665819567979,-4.099999999999998,17.0,0
2025-01-02 20:00:00,192,87.0,93.0,7.0,100.0,20.7,51,1.6,20,2,1,3,0,20.0,0.9354838709677419,-0.40000000000000213,3.0,8
2025-01-02 21:00:00,184,81.33,86.3,6.3,97.0,20.0,58,1.2,21,2,1,3,0,-8.0,0.9424101969872538,-0.6999999999999993,7.0,8
2025-01-02 22:00:00,177,75.67,79.7,5.7,94.0,18.1,60,1.2,22,2,1,3,0,-7.0,0.949435382685069,-1.8999999999999986,2.0,8
